Slno,Data Center Name,Company Name,URL to Website,Address,Postal,City,Market,State,Country,Power (MW),Tier Design,Whitespace
54,Cyfuture Bangalore Data Center,Cyfuture Data Center,https://cyfuture.com/,"Akshaya Commercial Complex, Sri Thyagi M Palanivelu Rd, Vicoria Layout,Bengaluru,560047 Bangalore,India",560047 ,Bengaluru,Banagalore,Karnataka,India,3 MW,Tier 3,185 sq.m
55,STT Bengaluru DC 1,STT GDC India,https://www.sttelemediagdc.com/,"Videsh Sanchar Bhavan, No. 2 , Keb Layout,560094 Geddalahalli,Karnataka, India",560094,Geddalahalli,Banagalore,Karnataka,India,1.25 MW,,"20,000 sq.f."
56,Data Samudra,Data Samudra Data Centre Services,https://www.teleindianetworks.com/,"KIADB IT Park, Mahadeva Kodigehalli,562149 Bangalore,Karnataka, India",562149 ,Bengaluru,Banagalore,Karnataka,India,2 MW,Tier 3,"19,000 sq.f."
57,"CapitaLand Data Centre, Bangalore 01",CapitaLand Data Centre,https://www.capitaland.com/,"International Tech Park Bangalore, Whitefield Road,560066 Bangalore,India",560066 ,Bengaluru,Banagalore,Karnataka,India,42 MW,,
58,ITI Limited Data Center,ITI Limited,https://www.itiltd.in/,"F-86, Bangalore Plant,560016 Dooravani Nagar,Karnataka, India",560016 ,Dooravani Nagar,Banagalore,Karnataka,India,6 MW,Tier 3,18580 sq.m.
59,Micronova Data Center,Micronova Infotex Pvt Ltd,https://www.micronova.in/,"#17, Bull Temple Road,560004 Bangalore,Karnataka, India",560004 ,Bengaluru,Banagalore,Karnataka,India,,Tier 3,
60,BSNL KR Puram IDC,BSNL IDC,https://bsnl.co.in/,"BSNL CACT Complex, Doorwani Nagar, Opp ITI,560016 KR Puram,Karnataka, India",560016,Puram,Banagalore,Karnataka,India,,Tier 3,
61,NxtGen HDDC,NxtGen Datacenter and Cloud Technologies,https://nxtgen.com/,"Plot No- 25, P-13, Bidadi Industrial Area,562109 Bidadi,Karnataka, India",562109 ,Bidadi,Banagalore,Karnataka,India,20 MW,,"12,500 sq.m."
62,ESDS Bengaluru DC,ESDS Software Solution Pvt. Ltd.,https://www.esds.co.in/,"No. 76, 77 & Part 78, Electronic City,560100 Bengaluru,India",560100 ,Banagalore,Banagalore,Karnataka,India,,Tier 3,
63,STT Bengaluru DC 3,STT GDC India,https://www.sttelemediagdc.com/,"within Whitefield,560066 Bengaluru,Karnataka, India",560066,Banagalore,Banagalore,Karnataka,India,18 MW,Tier 3,"395,000 sq.f."
64,DataSamudra,TeleIndia Networks Private Limited,https://datasamudra.com/,"#85, Road No. 9, KIADB IT Park,562149 Mahadeva Kodigehalli,India",562149,Mahadeva Kodigehalli,Banagalore,Karnataka,India,,Tier 3,"1,766 sq.m."
