Slno,Data Center Name,Company Name,URL to Website,Address,Postal,City,Market,State,Country,Power (MW),Tier Design,Whitespace
258,STT Noida Campus,STT GDC India,https://www.sttelemediagdc.com/in-en/locations/noida,"STT GDC India
Sector 143A
201307 Noida
India",201307,Noida,Noida,Uttar Pradesh,India,Not Specified,Not Specified,Not Specified
259,STT Noida DC 1,STT GDC India,https://www.sttelemediagdc.com/in-en/locations/noida,"STT GDC India
Sector 143A
201307 Noida
Uttar Pradesh, India",201307,Noida,Noida,Uttar Pradesh,India,17.3,Not Specified,20235 sq. m.
260,STT Noida DC 2,STT GDC India,https://www.sttelemediagdc.com/in-en/locations/noida,"STT GDC India
Sector 143A
201307 Noida
India",201307,Noida,Noida,Uttar Pradesh,India,17.5,Not Specified,Not Specified
261,STT Noida DC 3,STT GDC India,https://www.sttelemediagdc.com/in-en/locations/noida,"STT GDC India
within Sector 143A
201307 Noida
India",201307,Noida,Noida,Uttar Pradesh,India,28.4,Not Specified,Not Specified
262,Sify Noida 02,Sify Technologies Ltd,https://www.sifytechnologies.com,"Sify Technologies Ltd
NB-11,12,13, Sector – 132, Gautam Budh Nagar
201304 Noida
India",201304,Noida,Noida,Uttar Pradesh,India,78,Not Specified,Not Specified
263,Yotta D1,Yotta,https://colocation.yotta.com,"Yotta
Knowledge Park V, Plot No 7
201301 Tusiana
India",201301,Tusiana,Noida,Uttar Pradesh,India,28.8,Not Specified,27871 sq. m.
264,Anant Raj Panchkula,Anant Raj Cloud,https://anantrajlimited.com/,"Anant Raj Tech Park, 4th Floor, Tower B
134109 Panchkula, India",131029,Sonipat,Panchkula,Haryana,India,50,Tier 4,Not Specified
265,CtrlS Patna Edge DC1,CtrlS Datacenters Pvt Ltd,https://www.ctrls.com/lucknow-datacenter,"Plot No.18, Patliputra Industrial Area, Patna",800013,Patna,Patna,Bihar,India,Not Specified,Not Specified,Not Specified
266,Airgenie Data Center,Airgenie Communications,https://airgenie.co.in,"3rd Cross St & Elango Nagar Extn, Puducherry",605013,Puducherry,Pondicherry,Pondicherry,India,Not Specified,Tier 2,Not Specified
267,AdaniConneX Pune,AdaniConneX,https://www.adaniconnex.com,"AdaniConneX
within Pimpri industrial zone of Pune's Haveli locality
431102 Pimpri
India",431102,Pimpri,Pune,Maharashtra,India,70,Not Specified,Not Specified
268,DataGalaxy Data Center,DataGalaxy,https://www.datagalaxy.in,"DataGalaxy
46 Level 5, C Wing, Deepak Nitrate Rd
411006 Pune
Maharashtra, India",411006,Pune,Pune,Maharashtra,India,Not Specified,Not Specified,Not Specified
269,Hostin Services Private Limited,Hostindia.net,https://www.hostindia.net,"Hostindia.net
IDC, TCL Alandi Road, Dighi
1st Floor
411015 Pune
Maharashtra, India",411015,Pune,Pune,Maharashtra,India,Not Specified,Not Specified,Not Specified
270,Iron Mountain Data Centers PUN-1,Iron Mountain Data Centers,https://www.ironmountain.com,"Iron Mountain Data Centers
Plot No 9, Survey No's - 235,245, India Land Global Industrial Park
411057 Maharashtra
Hinjewadi, India",411057,Hinjewadi,Pune,Maharashtra,India,2,Tier 3,50186 sq. ft.
271,LeapSwitch Networks Pune DC,LeapSwitch Networks Private Limited,https://leapswitch.com,"LeapSwitch Networks Private Limited
Spectra Commercial, Paud Rd
4th Floor, Office 410
411038 Kothrud
Maharashtra, India",411038,Kothrud,Pune,Maharashtra,India,Not Specified,Not Specified,Not Specified
272,Microsoft Pune - Bhosari,Microsoft,https://datacenters.microsoft.com,"Microsoft
Mukta Park, 81/B/54, MIDC
411026 Pimpri-Chinchwad
India",411026,Pimpri-Chinchwad,Pune,Maharashtra,India,Not Specified,Not Specified,Not Specified
273,Microsoft Pune - Pimpri,Microsoft,https://azure.microsoft.com,"Microsoft
Morawadi Rd, Telco Quality Aid Center
411018 Pimpri-Chinchwad
India",411018,Pimpri-Chinchwad,Pune,Maharashtra,India,Not Specified,Not Specified,Not Specified
274,Nxtra Pune I,Nxtra by Airtel,https://nxtra.in,"Nxtra by Airtel
Plot No. 3 / 1, E Park
1st Floor
411014 Pune
India",411014,Pune,Pune,Maharashtra,India,3,Not Specified,Not Specified
275,Nxtra Pune II,Nxtra by Airtel,https://www.nxtra.in,"Nxtra by Airtel
Phase 3, Hinjawadi Rajiv Gandhi Infotech Park
411057 Pune
India",411057,Pune,Pune,Maharashtra,India,21,Not Specified,18580 sq. m.
276,Nxtra Pune III,Nxtra by Airtel,https://nxtra.in/,"Nxtra by Airtel
within Hinjewadi
411057 Hinjewadi
India",411057,Hinjewadi,Pune,Maharashtra,India,110,Not Specified,92903 sq. m.
277,STT Pune DC 1,STT GDC India,https://www.sttelemediagdc.in/pune-data-centre,"STT GDC India
Alandi Road, Dighi
411015 Dighe
Maharashtra, India",411015,Dighe,Pune,Maharashtra,India,40,Tier 3,23226 sq. ft.
278,STT Pune DC 2,STT GDC India,https://www.sttelemediagdc.com,"STT GDC India
Alandi Road, Dighi
411015 Pune
India",411015,Pune,Pune,Maharashtra,India,15,Not Specified,Not Specified
279,STT Pune DC 3,STT GDC India,https://www.sttelemediagdc.in,"STT GDC India
Alandi Road, Dighi
411015 Pune
India",411015,Pune,Pune,Maharashtra,India,15,Not Specified,Not Specified
280,STT Pune DC 4,STT GDC India,https://www.sttelemediagdc.com,"STT GDC India
within Dighi, STT Pune DC campus
411015 Pune
India",411015,Pune,Pune,Maharashtra,India,18,Not Specified,Not Specified
281,STT Pune DC 5,STT GDC India,https://www.sttelemediagdc.com,"STT GDC India
within Dighi, STT Pune DC campus
411015 Pune
India",411015,Pune,Pune,Maharashtra,India,14.3,Not Specified,Not Specified
282,Silvernox Datacenter Pune India,Silvernox Datacenter,https://silvernox.com,"Silvernox Datacenter
Hinjawadi Phase 1 Rd, GAT No. 236, Plot No 4
411057 Pune
India",411057,Pune,Pune,Maharashtra,India,4,Tier 3,8200 sq. ft.
283,Tata Communications Pune,Tata Communications,https://www.tatacommunications.com,"Tata Communications
Alandi Rd
411015 Pune
Maharashtra, India",411015,Pune,Pune,Maharashtra,India,Not Specified,Not Specified,Not Specified
284,RackBank Nava Raipur,Rackbank Datacenters Pvt. Ltd.,https://www.rackbank.com,"Rackbank Datacenters Pvt. Ltd.
CBD Naya Raipur, Sector 22
492018 Atal Nagar-Nava Raipur",492018,Raipur ,Raipur,Chhattisgarh,India,160,Not Specified,Not Specified
285,Anant Raj Rai,Anant Raj Cloud,https://anantrajcloud.com/,"Anant Raj Cloud
Plot No. TP-1, HSIIDC Ethnic City, Sector 38, 131029 Rai' India",131029,Sonipat,Rohtak,Haryana,India,200,Tier 4,Not Specified
286,AdaniConneX Vizag,AdaniConneX,https://www.adaniconnex.com,"AdaniConneX
4-76 Rajiv Nagar Road
530046 Visakhapatnam
India",530046,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,100,Not Specified,Not Specified
287,Sify Visakhapatnam,Sify Technologies Ltd,https://www.sifytechnologies.com,"Sify Technologies Ltd
within Rushikonda–Madhurawada IT Park
530045 Visakhapatnam
India",530045,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,50,Not Specified,Not Specified
